customer,region,product,amount,date
Alice,west,laptop,1200.50,2026-01-15
Bob,east,mouse,25.99,2026-01-16
Charlie,west,keyboard,89.99,2026-01-16
Alice,west,monitor,350.00,2026-01-17
David,south,laptop,1150.00,2026-01-18
Eve,east,keyboard,95.50,2026-01-19
Bob,east,laptop,1100.00,2026-01-20
Frank,north,mouse,22.50,2026-01-20
Alice,west,mouse,29.99,2026-01-21
Charlie,west,laptop,1299.99,2026-01-22
Grace,south,monitor,375.00,2026-01-23
David,south,keyboard,79.99,2026-01-24
Eve,east,monitor,400.00,2026-01-25
Frank,north,laptop,1050.00,2026-01-26
Grace,south,mouse,19.99,2026-01-27
Bob,east,keyboard,85.00,2026-01-28
Alice,west,laptop,1225.00,2026-01-29
Charlie,west,mouse,27.50,2026-01-30
David,south,monitor,425.00,2026-01-31
Eve,east,laptop,1175.00,2026-02-01
